,latitude,longitude,state
0,24.656,-82.8979,Florida
1,24.6434,-82.8014,Florida
2,24.5525,-82.1263,Florida
3,24.5391,-82.03,Florida
4,24.5257,-81.9337,Florida
5,24.6136,-82.1167,Florida
6,24.5868,-81.924,Florida
7,24.5732,-81.8277,Florida
8,24.5596,-81.7314,Florida
9,24.5458,-81.6351,Florida
10,24.6637,-81.8132,Florida
11,24.65,-81.7168,Florida
12,24.6363,-81.6204,Florida
13,24.6225,-81.5241,Florida
14,24.6085,-81.4278,Florida
15,24.5945,-81.3315,Florida
16,24.7405,-81.7022,Florida
17,24.7267,-81.6057,Florida
18,24.7129,-81.5093,Florida
19,24.6989,-81.4129,Florida
20,24.6849,-81.3165,Florida
21,24.6708,-81.2202,Florida
22,24.6566,-81.1239,Florida
23,24.8033,-81.4945,Florida
24,24.7893,-81.398,Florida
25,24.7753,-81.3015,Florida
26,24.7611,-81.2051,Florida
27,24.7469,-81.1086,Florida
28,24.7326,-81.0123,Florida
29,24.7182,-80.9159,Florida
30,25.9166,-97.4858,Texas
31,25.9179,-97.3869,Texas
32,24.8085,-80.9005,Florida
33,24.794,-80.8041,Florida
34,26.0062,-97.5863,Texas
35,26.0077,-97.4874,Texas
36,26.009,-97.3884,Texas
37,26.0103,-97.2894,Texas
38,26.0115,-97.1904,Texas
39,24.8988,-80.885,Florida
40,24.8842,-80.7885,Florida
41,24.8696,-80.6921,Florida
42,26.0864,-98.1824,Texas
43,26.0884,-98.0833,Texas
44,26.0904,-97.9843,Texas
45,26.0922,-97.8852,Texas
46,26.094,-97.7861,Texas
47,26.0957,-97.6871,Texas
48,26.0972,-97.588,Texas
49,26.0987,-97.4889,Texas
50,26.1001,-97.3898,Texas
51,26.1014,-97.2908,Texas
52,26.1026,-97.1917,Texas
53,25.0178,-81.0628,Florida
54,25.0034,-80.9662,Florida
55,24.989,-80.8695,Florida
56,24.9745,-80.7729,Florida
57,24.9598,-80.6764,Florida
58,24.9451,-80.5798,Florida
59,26.173,-98.383,Texas
60,26.1753,-98.2838,Texas
61,26.1774,-98.1847,Texas
62,26.1795,-98.0855,Texas
63,26.1814,-97.9864,Texas
64,26.1833,-97.8872,Texas
65,26.185,-97.788,Texas
66,26.1867,-97.6888,Texas
67,26.1883,-97.5897,Texas
68,26.1897,-97.4905,Texas
69,26.1911,-97.3913,Texas
70,26.1924,-97.2921,Texas
71,26.1936,-97.1929,Texas
72,25.1223,-81.1443,Florida
73,25.108,-81.0475,Florida
74,25.0937,-80.9507,Florida
75,25.0792,-80.854,Florida
76,25.0647,-80.7573,Florida
77,25.05,-80.6606,Florida
78,25.0353,-80.564,Florida
79,25.0205,-80.4674,Florida
80,26.2593,-98.5839,Texas
81,26.2617,-98.4847,Texas
82,26.264,-98.3855,Texas
83,26.2663,-98.2862,Texas
84,26.2684,-98.187,Texas
85,26.2705,-98.0877,Texas
86,26.2724,-97.9884,Texas
87,26.2743,-97.8892,Texas
88,26.276,-97.7899,Texas
89,26.2777,-97.6906,Texas
90,26.2793,-97.5913,Texas
91,26.2808,-97.492,Texas
92,26.2821,-97.3927,Texas
93,26.2834,-97.2935,Texas
94,26.2846,-97.1942,Texas
95,25.2125,-81.129,Florida
96,25.1982,-81.0321,Florida
97,25.1839,-80.9353,Florida
98,25.1694,-80.8384,Florida
99,25.1548,-80.7417,Florida
100,25.1402,-80.6449,Florida
101,25.1255,-80.5482,Florida
102,25.1106,-80.4515,Florida
103,25.0957,-80.3548,Florida
104,26.3451,-98.7853,Texas
105,26.3477,-98.686,Texas
106,26.3503,-98.5867,Texas
107,26.3527,-98.4873,Texas
108,26.355,-98.388,Texas
109,26.3573,-98.2886,Texas
