,state,latitude,longitude,Distance to Salt Cavern [km],Salt Cavern Name
0,Nebraska,41.592,-99.148,1044.0278267743045,SALADO
1,Texas,31.751,-103.821,85.21885645331376,KEYSTONE
2,Nebraska,40.649,-96.785,965.3250362347964,ARCADIA
3,Illinois,39.571,-90.647,559.2654138293954,LACEY STORAGE
4,SouthDakota,44.357,-103.604,900.4440078572352,ASQUITH
5,Texas,31.345,-99.849,303.2084951047588,KEYSTONE
6,NewMexico,33.761,-104.96,234.70841331710963,SALADO
7,Nevada,39.102,-117.3,1488.347900770371,SALADO
8,Mississippi,32.679,-88.705,106.79691031822011,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
9,Mississippi,31.666,-90.206,43.74479663729931,BOND SALT DOME
10,Nevada,41.764,-118.22,1417.9376394026322,ASQUITH
11,Oklahoma,34.475,-95.527,288.8998901924483,BETHEL
12,Washington,46.887,-122.567,1250.362558648991,ASQUITH
13,SouthCarolina,34.292,-79.506,351.264963482947,SALTVILLE STORAGE
14,Colorado,38.806,-103.102,683.2826641392171,SALADO
15,Iowa,43.28,-95.007,804.9474992030638,LACEY STORAGE
16,Idaho,46.254,-116.217,921.8013366387368,ASQUITH
17,Utah,38.317,-113.763,1174.2582182104893,SALADO
18,SouthCarolina,33.444,-81.549,379.654834928417,SALTVILLE STORAGE
19,Arizona,32.799,-110.823,745.2931417913759,KEYSTONE
20,SouthCarolina,33.383,-81.035,391.6653592472727,SALTVILLE STORAGE
21,Missouri,39.179,-94.644,754.3833035565658,ARCADIA
22,California,35.999,-120.072,1628.5296378705043,SALADO
23,SouthDakota,45.741,-103.31,761.5697064903771,ASQUITH
24,Ohio,41.319,-84.033,161.21470090754377,LACEY STORAGE
25,Idaho,44.629,-113.3,943.4578666529272,ASQUITH
26,Oregon,45.741,-123.839,1403.4485225390886,ASQUITH
27,Utah,37.171,-112.621,1025.955976489504,SALADO
28,Michigan,44.702,-83.351,184.9018829298749,TIPPERARY - GODERICH
29,Ohio,41.281,-83.597,188.35792719826657,LACEY STORAGE
30,Georgia,34.854,-83.539,274.037296111439,SALTVILLE STORAGE
31,Minnesota,44.547,-94.986,822.7792590805356,LACEY STORAGE
32,Mississippi,34.425,-89.848,287.27261970412803,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
33,Alabama,35.001,-87.796,374.9603200154608,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
34,Nebraska,41.716,-97.534,1022.0661623446794,LACEY STORAGE
35,Arkansas,35.75,-90.809,390.7228601690508,PERRYVILLE
36,Oklahoma,34.465,-97.64,327.71276480884137,BETHEL
37,Nebraska,40.763,-100.849,916.9975982046176,SALADO
38,Michigan,42.5,-85.305,8.316834474424258,LACEY STORAGE
