,site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
0,125525,-125.770416,45.908474,Unknown,Unknown,1.0,offshore,16,8.41,0.399,251,251/125525.nc
1,126643,-125.309982,48.923351,Unknown,Unknown,1.0,offshore,16,5.89,0.232,253,253/126643.nc
2,126653,-125.303802,48.964745,Unknown,Unknown,1.0,offshore,16,5.04,0.19,253,253/126653.nc
3,126650,-125.293671,48.947384,Unknown,Unknown,1.0,offshore,16,5.43,0.208,253,253/126650.nc
4,126644,-125.283539,48.930012,Unknown,Unknown,1.0,offshore,16,5.72,0.221,253,253/126644.nc
5,126637,-125.273422,48.912636,Unknown,Unknown,1.0,offshore,16,5.94,0.231,253,253/126637.nc
6,126632,-125.263306,48.895271,Unknown,Unknown,1.0,offshore,16,6.15,0.243,253,253/126632.nc
7,126638,-125.246994,48.919285,Unknown,Unknown,1.0,offshore,16,5.76,0.216,253,253/126638.nc
8,126633,-125.236877,48.901917,Unknown,Unknown,1.0,offshore,16,5.96,0.228,253,253/126633.nc
9,126646,-125.230652,48.943302,Unknown,Unknown,1.0,offshore,16,5.35,0.191,253,253/126646.nc
10,126639,-125.220551,48.925922,Unknown,Unknown,1.0,offshore,16,5.56,0.201,253,253/126639.nc
11,126634,-125.210449,48.908554,Unknown,Unknown,1.0,offshore,16,5.77,0.215,253,253/126634.nc
12,126631,-125.200363,48.891178,Unknown,Unknown,1.0,offshore,16,5.95,0.227,253,253/126631.nc
13,126640,-125.194107,48.93256,Unknown,Unknown,1.0,offshore,16,5.37,0.189,253,253/126640.nc
14,126635,-125.184021,48.915188,Unknown,Unknown,1.0,offshore,16,5.59,0.203,253,253/126635.nc
15,126641,-125.167664,48.939194,Unknown,Unknown,1.0,offshore,16,5.23,0.182,253,253/126641.nc
16,126636,-125.157562,48.92181,Unknown,Unknown,1.0,offshore,16,5.45,0.193,253,253/126636.nc
17,126649,-125.151276,48.963192,Unknown,Unknown,1.0,offshore,16,4.83,0.163,253,253/126649.nc
18,126642,-125.141205,48.945812,Unknown,Unknown,1.0,offshore,16,5.07,0.172,253,253/126642.nc
19,126623,-124.871872,48.635105,Unknown,Unknown,1.0,offshore,16,6.55,0.277,253,253/126623.nc
20,126615,-124.861938,48.617702,Unknown,Unknown,1.0,offshore,16,6.68,0.287,253,253/126615.nc
21,126624,-124.84552,48.641663,Unknown,Unknown,1.0,offshore,16,6.26,0.256,253,253/126624.nc
22,126616,-124.835602,48.624249,Unknown,Unknown,1.0,offshore,16,6.46,0.271,253,253/126616.nc
23,126606,-124.825684,48.606846,Unknown,Unknown,1.0,offshore,16,6.59,0.28,253,253/126606.nc
24,113176,-124.824738,42.737633,Unknown,Unknown,1.0,offshore,16,9.83,0.517,226,226/113176.nc
25,126625,-124.819183,48.64822,Unknown,Unknown,1.0,offshore,16,5.86,0.225,253,253/126625.nc
26,126617,-124.809265,48.630806,Unknown,Unknown,1.0,offshore,16,6.13,0.247,253,253/126617.nc
27,126607,-124.799347,48.613392,Unknown,Unknown,1.0,offshore,16,6.32,0.262,253,253/126607.nc
28,126597,-124.789459,48.595978,Unknown,Unknown,1.0,offshore,16,6.46,0.27,253,253/126597.nc
29,126608,-124.77301,48.619938,Unknown,Unknown,1.0,offshore,16,5.94,0.232,253,253/126608.nc
30,126598,-124.763123,48.60252,Unknown,Unknown,1.0,offshore,16,6.14,0.247,253,253/126598.nc
31,126475,-124.746201,47.354195,Unknown,Unknown,1.0,offshore,16,7.57,0.335,252,252/126475.nc
32,126589,-124.753235,48.585106,Unknown,Unknown,1.0,offshore,16,6.33,0.26,253,253/126589.nc
33,95757,-124.741135,40.299961,Unknown,Unknown,1.0,offshore,16,9.96,0.543,191,191/95757.nc
34,126555,-124.733459,48.391285,Unknown,Unknown,1.0,offshore,16,7.66,0.338,253,253/126555.nc
35,126551,-124.697388,48.38039,Washington,Clallam,0.6214,3,10,7.95,0.454,253,253/126551.nc
36,125456,-124.663971,46.14212,Unknown,Unknown,1.0,offshore,16,8.04,0.367,250,250/125456.nc
37,126500,-124.64563,47.916386,Unknown,Unknown,1.0,offshore,16,7.17,0.302,253,253/126500.nc
38,126545,-124.62529,48.358578,Washington,Clallam,1.0,3,16,7.28,0.404,253,253/126545.nc
39,113243,-124.596268,42.820354,Unknown,Unknown,1.0,offshore,16,9.72,0.505,226,226/113243.nc
