Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,677584,-,-,-,26.05,-97.74,-6,15,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Precipitable Water
2013,1,1,0,30,0,0,0,0,0,0,2.1,19,176.76,100,0.152,1010,182,4.208
2013,1,1,1,30,0,0,0,0,0,0,1.9000000000000001,18,167.02,100,0.152,1010,184.60000000000002,4.248
2013,1,1,2,30,0,0,0,0,0,0,1.8,18,153.61,100,0.152,1010,190.4,4.305
2013,1,1,3,30,0,0,0,0,0,0,1.7000000000000002,18,140.16,100,0.152,1010,193.8,4.346
2013,1,1,4,30,0,0,0,0,0,0,1.9000000000000001,18,126.81,100,0.152,1010,195.5,4.375
2013,1,1,5,30,0,0,0,0,0,0,2.1,18,113.67,100,0.152,1010,201.9,4.388
2013,1,1,6,30,0,0,0,0,0,0,2.4000000000000004,18,100.84,100,0.152,1010,215.3,4.375
2013,1,1,7,30,12,45,13,3,3,0,2.7,18,88.47,98.58,0.152,1010,234.20000000000002,4.354
2013,1,1,8,30,70,449,172,6,6,0,3.5,18,76.84,95.08,0.152,1010,257.1,4.344
2013,1,1,9,30,101,629,354,13,13,0,4.4,19,66.31,84.69,0.152,1010,280.40000000000003,4.345
2013,1,1,10,30,124,708,505,39,39,0,5,20,57.54,75.15,0.152,1010,296.2,4.3420000000000005
2013,1,1,11,30,140,743,604,156,156,0,5.300000000000001,21,51.43,68.87,0.152,1010,307.70000000000005,4.34
2013,1,1,12,30,155,735,638,29,29,0,5.6000000000000005,20,49,72.43,0.152,1010,317.70000000000005,4.344
2013,1,1,13,30,166,694,605,167,167,0,6,19,50.77,76.02,0.152,1010,327.90000000000003,4.335
2013,1,1,14,30,165,622,510,139,139,0,6.5,18,56.36,78.56,0.152,1010,339.90000000000003,4.291
2013,1,1,15,30,149,503,364,48,48,0,6.9,17,64.77,79.14,0.152,1010,349.90000000000003,4.202
2013,1,1,16,30,106,318,188,10,10,0,6.9,16,75.06,77.89,0.152,1010,356.1,4.093
2013,1,1,17,30,22,41,24,1,1,0,6.6000000000000005,15,86.55,77.98,0.152,1010,359,4.001
2013,1,1,18,30,0,0,0,0,0,0,6.2,15,98.82000000000001,76.54,0.152,1010,0.2,3.931
2013,1,1,19,30,0,0,0,0,0,0,5.9,14,111.59,82.13,0.152,1010,1.8,3.873
2013,1,1,20,30,0,0,0,0,0,0,5.5,14,124.69,83.10000000000001,0.152,1010,2.5,3.8280000000000003
