,Wind Speed [m/s],Power [kW],Cp [-],Ct [-]
0,0.0,0.0,0.0,0.0
1,0.5,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.5,0.0,0.0,0.0
4,2.0,0.0,0.0,0.0
5,2.5,0.0,0.0,0.0
6,3.0,96.2465123052312,0.192891513,0.2701938462552998
7,3.5,259.8655834676017,0.327971809,0.49876088677031816
8,4.0,466.79558565335714,0.39467412,0.6410583756749411
9,4.5,719.4426800803639,0.427218981,0.7304171026328261
10,5.0,1020.2130323647901,0.441644409,0.7820140738475616
11,5.5,1383.543616947215,0.449983583,0.8219695127339289
12,6.0,1804.6221073447282,0.452089484,0.8352112145765765
13,6.5,2297.8854847039333,0.45277266,0.8400940247937402
14,7.0,2868.14607331552,0.452479626,0.8379537129170351
15,7.5,3491.3422371404968,0.447816937,0.8101778683666324
16,8.0,4143.412363766887,0.437905177,0.7672683998396476
17,8.5,4766.60853153047,0.419995456,0.7083562153936742
18,9.0,5283.933537682094,0.392212744,0.6350905785639259
19,9.5,5644.857957214307,0.35626576,0.5551074611981718
20,10.0,5866.224936675052,0.317431919,0.4788235519553873
21,10.5,6000.970054119057,0.280508125,0.41244475217617255
22,11.0,6015.407027531671,0.244556295,0.35190962095427364
23,11.5,6015.407039825664,0.214024446,0.3029658154904963
24,12.0,6015.407045771689,0.188370619,0.2632886841215642
25,12.5,6015.407046797343,0.166658268,0.23060389109382756
26,13.0,6015.407030784197,0.148158593,0.20333704601408872
27,13.5,6015.407029929484,0.132298706,0.18035220902161636
28,14.0,6015.40703172669,0.118624063,0.16080492837083768
29,14.5,6015.407032525962,0.106770898,0.14405295244038488
30,15.0,6015.407050262392,0.096445757,0.12959884155843146
31,15.5,6015.4070090467885,0.087410138,0.11705148949914825
32,16.0,6015.407054050846,0.079468855,0.10609947180098464
33,16.5,6015.406990635828,0.072461124,0.09649207076054334
34,17.0,6015.407017459927,0.0662537,0.08802550386379156
35,17.5,6015.407006371771,0.06073552,0.080532705961645
36,18.0,6015.4070737138445,0.055813517,0.07387566569120284
37,18.5,6015.407017596221,0.051409303,0.0679395700022922
38,19.0,6015.407023687776,0.047456543,0.0626283035300828
39,19.5,6015.406980032777,0.043898842,0.05786092523660555
40,20.0,6015.407089532949,0.040688054,0.05356890955590444
41,20.5,6015.407093374533,0.037782903,0.04969394382759819
42,21.0,6015.4071141301765,0.035147871,0.04618618064324506
43,21.5,6015.407067479066,0.032752279,0.04300281785004922
44,22.0,6015.4070521288995,0.030569537,0.040106954468623494
45,22.5,2887.395408450592,0.01371673,0.017894348350362906
46,23.0,2887.395433080161,0.012841467,0.016747646863604262
47,23.5,2887.3954440135462,0.012039115,0.015697057336370227
48,24.0,2887.3953462044515,0.011302237,0.014732694286609812
49,24.5,2887.395305217541,0.010624289,0.013845872021549986
50,25.0,2887.395359362398,0.009999496,0.013028935873409437
51,25.5,0.0,0.0,0.0
52,50.0,0.0,0.0,0.0
