,Wind Speed [m/s],Power [kW],Cp [-],Ct [-]
0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0
2,2.5,0.0,0.0,0.0
3,3.0,36.72215584890226,0.178085,0.99
4,3.5,94.65678115354163,0.289075,0.99
5,4.0,170.596391826316,0.349022,0.97373036
6,4.5,267.7493349641917,0.384728,0.92826162
7,5.0,387.64681352354114,0.406059,0.89210543
8,5.5,533.9617151673435,0.420228,0.86100905
9,6.0,707.406240282733,0.428823,0.835423
10,6.5,909.9965782677072,0.433873,0.81237673
11,7.0,1142.7197798534328,0.436223,0.79225789
12,7.5,1407.4994184495558,0.436845,0.77584769
13,8.0,1707.1272243371227,0.436575,0.7629228
14,8.5,2047.33558065431,0.436511,0.76156073
15,9.0,2430.5778091805637,0.436561,0.76261984
16,9.5,2858.3081150622215,0.436517,0.76169723
17,10.0,3329.1006273541952,0.435903,0.75232027
18,10.5,3842.9755943182276,0.434673,0.74026851
19,11.0,4403.861405940551,0.43323,0.72987175
20,11.5,4999.993508066915,0.430466,0.70701647
21,12.0,4999.998504738389,0.378869,0.54054532
22,12.5,4999.997854617397,0.335199,0.45509459
23,13.0,5000.00304890274,0.297991,0.39343381
24,13.5,5000.002113339491,0.266092,0.34250785
25,14.0,4999.997282778227,0.238588,0.30487242
26,14.5,5000.002243172758,0.214748,0.27164979
27,15.0,5000.000360590384,0.193981,0.24361964
28,15.5,5000.009074693788,0.175808,0.21973831
29,16.0,4999.987262704901,0.159835,0.19918151
30,16.5,5000.00734581109,0.145741,0.18131868
31,17.0,5000.006875165497,0.133256,0.16537679
32,17.5,4999.994990648267,0.122157,0.15103727
33,18.0,4999.977059337551,0.112257,0.13998636
34,18.5,4999.983698972648,0.103399,0.1289037
35,19.0,4999.991318085188,0.095449,0.11970413
36,19.5,5000.024022703328,0.088294,0.11087113
37,20.0,5000.016589748782,0.081836,0.10339901
38,20.5,5000.025709581146,0.075993,0.09617888
39,21.0,4999.944891236294,0.070692,0.09009926
40,21.5,5000.035324880168,0.065875,0.08395078
41,22.0,4999.967955734346,0.061484,0.0791188
42,22.5,5000.013248451465,0.057476,0.07448356
43,23.0,5000.063199891701,0.053809,0.07050731
44,23.5,5000.068982245372,0.050447,0.06684119
45,24.0,4999.9325188896555,0.047358,0.06345518
46,24.5,5000.0110355579845,0.044518,0.06032267
47,25.0,5000.012771123277,0.0419,0.05741999
48,25.01,4717.243379938609,0.039483,0.05472609
49,25.02,0.0,0.0,0.0
50,50.0,0.0,0.0,0.0
